Case_ID,amount,stackType,status,Time,Activity
PP1,32,nonreefer,incomplete,3/8/2016 11:40,A
PP1,32,nonreefer,incomplete,3/8/2016 12:48,B
PP1,32,nonreefer,incomplete,3/8/2016 13:56,D
PP1,32,nonreefer,incomplete,3/8/2016 15:04,E
PP1,32,nonreefer,incomplete,3/8/2016 16:12,G
PP1,32,nonreefer,incomplete,3/8/2016 17:20,H
PP2,12,nonreefer,incomplete,3/8/2016 18:28,A
PP2,12,nonreefer,incomplete,3/8/2016 19:36,B
PP2,12,nonreefer,incomplete,3/8/2016 20:44,D
PP2,12,nonreefer,incomplete,3/8/2016 21:52,E
PP2,12,nonreefer,incomplete,3/8/2016 23:00,F
PP2,12,nonreefer,incomplete,3/9/2016 0:08,H
PP3,16,nonreefer,incomplete,3/9/2016 1:16,A
PP3,16,nonreefer,incomplete,3/9/2016 2:24,C
PP3,16,nonreefer,incomplete,3/9/2016 3:32,D
PP3,16,nonreefer,incomplete,3/9/2016 4:40,E
PP3,16,nonreefer,incomplete,3/9/2016 5:48,G
PP3,16,nonreefer,incomplete,3/9/2016 6:56,H
PP4,27,reefer,complete,3/9/2016 8:04,A
PP4,27,reefer,complete,3/9/2016 9:12,B
PP4,27,reefer,complete,3/9/2016 10:20,D
PP4,27,reefer,complete,3/9/2016 11:28,E
PP4,27,reefer,complete,3/9/2016 12:36,G
PP4,27,reefer,complete,3/9/2016 13:44,H
PP5,39,nonreefer,complete,3/9/2016 14:52,A
PP5,39,nonreefer,complete,3/9/2016 16:00,C
PP5,39,nonreefer,complete,3/9/2016 17:08,D
PP5,39,nonreefer,complete,3/9/2016 18:16,E
PP5,39,nonreefer,complete,3/9/2016 19:24,G
PP5,39,nonreefer,complete,3/9/2016 20:32,H
PP6,5,reefer,incomplete,3/9/2016 21:40,A
PP6,5,reefer,incomplete,3/9/2016 22:48,B
PP6,5,reefer,incomplete,3/9/2016 23:56,D
PP6,5,reefer,incomplete,3/10/2016 1:04,E
PP6,5,reefer,incomplete,3/10/2016 2:12,F
PP6,5,reefer,incomplete,3/10/2016 3:20,H
PP7,36,reefer,incomplete,3/10/2016 4:28,A
PP7,36,reefer,incomplete,3/10/2016 5:36,C
PP7,36,reefer,incomplete,3/10/2016 6:44,D
PP7,36,reefer,incomplete,3/10/2016 7:52,E
PP7,36,reefer,incomplete,3/10/2016 9:00,G
PP7,36,reefer,incomplete,3/10/2016 10:08,H
PP8,20,nonreefer,complete,3/10/2016 11:16,A
PP8,20,nonreefer,complete,3/10/2016 12:24,B
